orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
4338	YBL021C	HAP3	tagged	visualized	TAP visualized	2510	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5289	YBL022C	PIM1	tagged	visualized	TAP visualized	14500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
539	YBL023C	MCM2	tagged	visualized	TAP visualized	1690	261.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
948	YBL024W	NCL1	tagged	visualized	TAP visualized	16100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4328	YBL025W	RRN10	tagged	visualized	TAP visualized	low signal	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
4407	YBL026W	LSM2	tagged	visualized	TAP visualized	2210	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2918	YBL027W	RPL19B	tagged	visualized	TAP visualized	225000	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
4908	YBL028C		tagged	visualized	TAP visualized	6210	NA	nucleolus,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F		
5073	YBL029C-A		tagged	visualized	TAP visualized	996	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2459	YBL029W		tagged	visualized	TAP visualized	low signal	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2763	YBL031W	SHE1	tagged	visualized	TAP visualized	264	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F		
2429	YBL032W	HEK2	tagged	visualized	TAP visualized	15600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2696	YBL033C	RIB1	tagged	visualized	TAP visualized	9520	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
85	YBL034C	STU1	tagged	visualized	TAP visualized	521	NA	ambiguous,spindle pole	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
877	YBL035C	POL12	tagged	visualized	TAP visualized	11200	1700.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3396	YBL036C		tagged	visualized	TAP visualized	4890	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
352	YBL037W	APL3	tagged	visualized	TAP visualized	1590	NA	bud neck,cell periphery	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F		
3606	YBL038W	MRPL16	tagged	visualized	TAP visualized	2880	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1313	YBL039C	URA7	tagged	visualized	TAP visualized	57600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
6042	YBL040C	ERD2	tagged	visualized	TAP visualized	low signal	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5503	YBL042C	FUI1	tagged	visualized	TAP visualized	low signal	NA	cell periphery,bud	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
5755	YBL045C	COR1	tagged	visualized	TAP visualized	19300	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2055	YBL046W		tagged	visualized	TAP visualized	1010	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
126	YBL047C	EDE1	tagged	visualized	TAP visualized	1380	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
991	YBL051C	PIN4	tagged	visualized	TAP visualized	4630	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
606	YBL052C	SAS3	tagged	visualized	TAP visualized	low signal	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1555	YBL054W		tagged	visualized	TAP visualized	830	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2200	YBL055C		tagged	visualized	TAP visualized	1460	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1870	YBL056W	PTC3	tagged	visualized	TAP visualized	19700	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3740	YBL057C	PTH2	tagged	visualized	TAP visualized	2190	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2172	YBL058W	SHP1	tagged	visualized	TAP visualized	3200	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4408	YBL059C-A		tagged	visualized	TAP visualized	279	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3721	YBL059W		tagged	visualized	TAP visualized	623	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
934	YBL060W		tagged	visualized	TAP visualized	low signal	NA	bud neck,cytoplasm	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	F		
5462	YBL061C	SKT5	tagged	visualized	TAP visualized	2580	NA	bud neck,cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	T	F		
266	YBL063W	KIP1	tagged	visualized	TAP visualized	56.9	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F		
3364	YBL064C	PRX1	tagged	visualized	TAP visualized	4510	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
926	YBL067C	UBP13	tagged	visualized	TAP visualized	125	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2622	YBL068W	PRS4	tagged	visualized	TAP visualized	5280	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
