YAL008w|755|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL008w|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL009w|735||
YAL009w|735.01||9822591
YAL009w|750|902.01.01.03.02,902.01.09.02|11914276
YAL009w|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL009w|750.01||9822591
YAL009w|750.07||9822591
YAL009w|755|902.01.01.03.02,902.01.09.02|11914276
YAL009w|||9822591
YAL009w|||9822591
YAL009w|||9822591
YAL010c|755|902.01.01|9628893
YAL010c|755|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL010c|755.01||8089171
YAL011w|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL011w|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL012w|725||
YAL012w|725|902.01.01.03.02,902.01.09.02|11914276
YAL012w|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL013w|725||
YAL013w|725|902.01.01.03.02,902.01.09.02|11914276
YAL014c|725|902.01.01.03.02,902.01.09.02|11914276
YAL014c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL014c|745.09|902.01.01.02.01.01|12453154
YAL014c|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL015c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL015c|750||10207101
YAL015c|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL015c|755||10207101
YAL015c|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL016w|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL016w|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL017w|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL018c|722||
YAL019w|750||
YAL019w|750|902.01.01.03.02,902.01.09.02|11914276
YAL019w|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL019w|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL020c|725|902.01.01.03.02,902.01.09.02|11914276
YAL020c|730.03||8070652
YAL021c|725|902.01.01.03.02,902.01.09.02|11914276
YAL021c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL021c|750|902.01.01.03.02,902.01.09.02|11914276
YAL021c|750.03||
YAL022c|720||
YAL023c|735||
YAL023c|735|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL023c|735.01||
YAL024c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL025c|750||
YAL025c|750.03||
YAL026c|725|902.01.01.03.02,902.01.09.02|11914276
YAL026c|740|902.01.01|10601336
YAL026c|740.01|902.01.01|20069787
YAL026c|745.03|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL026c|745.09|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL027w|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL028w|735.01|901.01.01.01,902.01.01.03.02,902.01.09.01|15189990
YAL029c|705|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL029c|705.03|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL029c|715|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL029c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL029c|730||
YAL029c|730.01||8625407
YAL029c|755|901.01.01.01,902.01.01.03.03,902.01.01.04.01,902.01.09.02|14576278
YAL029c|795|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL029c|||8625407
YAL029c|||8625408,9219698
YAL030w|735|902.01.01.03.02,902.01.09.02|11914276
YAL030w|745||7954793
YAL030w|745.07||7954793
YAL030w|750.01|902.01.01.03.02,902.01.09.02|11914276
YAL031c|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL032c|750||
YAL032c|750|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL033w|725|901.01.01.01,902.01.01.03.02,902.01.09.02|14562095
YAL033w|750||9716399
